order_id,customer_id,customer_age,email,region,category,product_name,quantity,unit_price,discount,total_amount,payment_method,status,rating,sale_date
ORD-00575,CUST-1672,31,user575@example.com,Central,Home,Home Item 496,19,531.21,0.11,8982.76,debit_card,pending,1.4,2023-07-04
ORD-00828,CUST-9283,40,user828@example.com,North,Electronics,Electronics Item 116,5,344.64,0.29,1223.47,debit_card,pending,1.2,2023-01-23
ORD-01511,CUST-8099,63,user1511@example.com,South,Books,Books Item 199,5,123.37,0.09,561.33,credit_card,refunded,1.9,2023-03-28
ORD-00510,CUST-2814,41,user510@example.com,South,Books,Books Item 275,8,294.65,0.16,1980.05,bank_transfer,refunded,4.4,2023-05-26
ORD-00705,CUST-1282,44,user705@example.com,West,Sports,Sports Item 373,19,474.04,0.09,8196.15,bank_transfer,cancelled,4.6,2023-02-21
ORD-00969,CUST-1328,45,user969@example.com,South,Food,Food Item 208,20,535.18,0.17,8883.99,paypal,refunded,2.8,2023-08-20
ORD-00005,CUST-6168,32,user5@example.com,West,Toys,Toys Item 138,13,273.6,0.28,2560.9,credit_card,pending,4.1,2023-03-25
ORD-00404,CUST-1471,46,user404@example.com,North,Electronics,Electronics Item 114,16,351.47,0.21,4442.58,debit_card,pending,4.1,2023-03-09
ORD-01378,CUST-4889,55,user1378@example.com,East,Beauty,Beauty Item 155,19,295.47,0.01,5557.79,crypto,completed,1.9,2023-03-29
ORD-01043,CUST-9850,28,user1043@example.com,South,Clothing,Clothing Item 164,10,240.09,0.17,1992.75,crypto,cancelled,4.9,2023-06-17
ORD-01405,CUST-6992,38,user1405@example.com,South,Home,Home Item 309,18,743.27,0.22,10435.51,credit_card,refunded,2.1,2023-06-26
ORD-00896,CUST-3248,72,user896@example.com,West,Home,Home Item 173,10,837.13,0.18,6864.47,credit_card,refunded,2.5,2023-08-26
ORD-00098,CUST-8272,24,user98@example.com,East,Beauty,Beauty Item 229,20,995.11,0.05,18907.09,credit_card,cancelled,2.2,2023-02-10
ORD-00820,CUST-9753,75,user820@example.com,North,Electronics,Electronics Item 25,17,832.09,0.06,13296.8,paypal,refunded,3.2,2023-05-28
ORD-00604,CUST-1934,61,user604@example.com,South,Home,Home Item 359,17,845.6,0.29,10206.39,crypto,completed,4.5,2023-08-14
ORD-02029,CUST-8770,61,user2029@example.com,South,Home,Home Item 483,14,510.84,0.21,5649.89,paypal,refunded,1.1,2023-09-18
ORD-00423,CUST-5702,44,user423@example.com,South,Books,Books Item 132,5,747.69,0.23,2878.61,crypto,pending,1.3,2023-03-17
ORD-00630,CUST-2683,47,user630@example.com,North,Home,Home Item 115,16,614.25,0.12,8648.64,credit_card,completed,4.6,2023-02-10
ORD-01455,CUST-1383,74,user1455@example.com,West,Clothing,Clothing Item 476,15,543.17,0.04,7821.65,debit_card,pending,2.4,2023-02-17
ORD-01355,CUST-3828,73,user1355@example.com,South,Food,Food Item 446,12,308.61,0.07,3444.09,paypal,completed,4.1,2023-03-06
ORD-01602,CUST-1512,37,user1602@example.com,West,Books,Books Item 70,11,98.3,0.14,929.92,bank_transfer,pending,4.0,2023-10-27
ORD-00041,CUST-5118,40,user41@example.com,South,Books,Books Item 62,10,665.63,0.11,5924.11,debit_card,cancelled,2.3,2023-07-27
ORD-00138,CUST-9180,64,user138@example.com,Central,Books,Books Item 336,5,21.14,0.17,87.73,paypal,cancelled,2.3,2023-01-24
ORD-01392,CUST-3528,54,user1392@example.com,Central,Food,Food Item 469,1,386.91,0.12,340.48,crypto,pending,4.6,2023-10-16
ORD-02020,CUST-5227,41,user2020@example.com,South,Clothing,Clothing Item 38,3,690.84,0.22,1616.57,crypto,pending,4.2,2023-05-10
ORD-01099,CUST-5045,18,user1099@example.com,North,Beauty,Beauty Item 131,6,820.54,0.27,3593.97,paypal,pending,4.4,2023-10-12
ORD-01847,CUST-8512,63,user1847@example.com,West,Home,Home Item 349,6,185.62,0.23,857.56,credit_card,pending,1.2,2023-02-25
ORD-00047,CUST-5728,35,user47@example.com,West,Books,Books Item 64,14,119.2,0.07,1551.98,bank_transfer,cancelled,1.7,2023-11-17
ORD-01317,CUST-7475,28,user1317@example.com,South,Home,Home Item 84,12,468.19,0.29,3988.98,credit_card,refunded,2.2,2023-12-11
ORD-01825,CUST-6064,63,user1825@example.com,South,Sports,Sports Item 114,8,802.42,0.22,5007.1,credit_card,refunded,1.5,2023-06-04
ORD-00979,CUST-3907,74,user979@example.com,Central,Electronics,Electronics Item 486,4,865.92,0.08,3186.59,bank_transfer,refunded,1.0,2023-05-18
ORD-01573,CUST-7436,26,user1573@example.com,Central,Electronics,Electronics Item 171,7,96.16,0.3,471.18,paypal,pending,2.5,2023-03-21
ORD-02019,CUST-1310,25,user2019@example.com,East,Sports,Sports Item 287,14,354.72,0.05,4717.78,debit_card,refunded,1.9,2023-02-27
ORD-02057,CUST-5344,56,user2057@example.com,North,Toys,Toys Item 224,2,712.13,0.26,1053.95,bank_transfer,pending,2.2,2023-01-09
ORD-01978,CUST-4472,44,user1978@example.com,West,Electronics,Electronics Item 207,17,548.17,0.06,8759.76,paypal,refunded,1.0,2023-02-02
ORD-01502,CUST-6732,32,user1502@example.com,Central,Electronics,Electronics Item 15,14,683.51,0.17,7942.39,credit_card,refunded,,2023-08-20
ORD-01281,CUST-2120,44,user1281@example.com,West,Sports,Sports Item 428,11,870.78,0.21,7567.08,credit_card,refunded,1.4,2023-01-13
ORD-00186,CUST-8404,28,user186@example.com,East,Books,Books Item 238,5,781.03,0.18,3202.22,paypal,completed,1.5,2023-02-08
ORD-01416,CUST-1472,55,user1416@example.com,South,Electronics,Electronics Item 187,20,547.29,0.04,10507.97,debit_card,completed,1.7,2023-05-17
ORD-02024,CUST-1209,30,user2024@example.com,North,Sports,Sports Item 2,17,967.17,0.09,14962.12,crypto,refunded,3.5,2023-06-21
ORD-01691,CUST-3760,72,user1691@example.com,Central,Electronics,Electronics Item 149,7,332.62,0.23,1792.82,paypal,completed,5.0,2023-04-20
ORD-00866,CUST-3500,,user866@example.com,South,Books,Books Item 257,8,61.23,0.21,386.97,paypal,cancelled,2.9,2023-05-14
ORD-01222,CUST-7656,73,user1222@example.com,Central,Sports,Sports Item 313,16,937.96,0.28,10805.3,crypto,cancelled,2.9,2023-02-27
ORD-00306,CUST-3534,38,user306@example.com,North,Food,Food Item 20,10,11.54,0.3,80.78,bank_transfer,cancelled,3.8,2023-09-23
ORD-01214,CUST-1455,44,user1214@example.com,East,Home,Home Item 294,6,164.22,0.11,876.93,debit_card,pending,3.2,2023-08-31
ORD-00148,CUST-4977,56,user148@example.com,Central,Beauty,Beauty Item 267,4,31.13,0.11,110.82,debit_card,refunded,1.0,2023-08-18
ORD-01595,CUST-6006,56,user1595@example.com,East,Sports,Sports Item 410,10,247.63,0.29,1758.17,credit_card,cancelled,1.1,2023-12-03
ORD-00286,CUST-8752,65,user286@example.com,Central,Food,Food Item 28,1,129.41,0.07,120.35,credit_card,refunded,1.7,2023-03-27
ORD-01293,CUST-4590,20,user1293@example.com,South,Clothing,Clothing Item 223,18,428.13,0.3,5394.44,credit_card,completed,4.3,2023-10-06
ORD-01223,CUST-3754,19,user1223@example.com,North,Clothing,Clothing Item 32,6,516.11,0.06,2910.86,credit_card,cancelled,2.7,2023-10-22
ORD-01436,CUST-9874,31,user1436@example.com,East,Home,Home Item 432,20,488.27,0.18,8007.63,crypto,completed,3.3,2023-05-17
ORD-00438,CUST-6198,29,user438@example.com,Central,Beauty,Beauty Item 222,12,136.58,0.27,1196.44,debit_card,cancelled,4.7,2023-06-04
ORD-01633,CUST-3676,66,user1633@example.com,Central,Toys,Toys Item 183,20,861.67,0.1,15510.06,paypal,cancelled,3.4,2023-02-09
ORD-01941,CUST-5662,63,user1941@example.com,East,Clothing,Clothing Item 300,14,967.0,0.22,10559.64,debit_card,pending,2.8,2023-01-07
ORD-00263,CUST-8891,64,user263@example.com,South,Beauty,Beauty Item 113,20,969.39,0.19,15704.12,bank_transfer,pending,1.3,2023-09-22
ORD-00380,CUST-9548,57,user380@example.com,West,Books,Books Item 442,10,605.61,0.24,4602.64,debit_card,refunded,3.2,2023-06-25
ORD-00599,CUST-3122,36,user599@example.com,North,Home,Home Item 170,3,943.78,0.0,2831.34,bank_transfer,completed,2.3,2023-01-25
ORD-00760,CUST-1917,35,user760@example.com,West,Electronics,Electronics Item 291,13,628.26,0.29,5798.84,crypto,pending,4.0,2023-07-06
ORD-00925,CUST-8752,67,user925@example.com,North,Books,Books Item 171,6,624.94,0.28,2699.74,paypal,completed,2.7,2023-02-11
ORD-00344,CUST-6320,75,user344@example.com,West,Sports,Sports Item 250,15,473.19,0.28,5110.45,credit_card,completed,2.6,2023-08-22
ORD-00535,CUST-2000,22,user535@example.com,East,Clothing,Clothing Item 385,6,84.41,0.03,491.27,credit_card,completed,2.9,2023-11-17
ORD-00536,CUST-6620,66,user536@example.com,East,Books,Books Item 419,17,792.82,0.11,11995.37,debit_card,cancelled,4.0,2023-02-19
ORD-01078,CUST-3332,50,user1078@example.com,South,Books,Books Item 478,9,935.87,0.13,7327.86,paypal,pending,1.0,2023-07-16
ORD-01661,CUST-8315,48,user1661@example.com,East,Food,Food Item 144,7,226.24,0.13,1377.8,paypal,refunded,1.2,2023-12-12
ORD-01093,CUST-9795,70,user1093@example.com,North,Sports,Sports Item 56,4,96.84,0.27,282.77,bank_transfer,refunded,3.1,2023-04-01
ORD-02195,CUST-7251,37,user2195@example.com,South,Sports,Sports Item 258,19,83.95,0.26,1180.34,bank_transfer,refunded,2.6,2023-01-27
ORD-01435,CUST-7744,58,user1435@example.com,North,Books,Books Item 145,13,194.95,0.15,2154.2,crypto,refunded,2.6,2023-01-21
ORD-00885,CUST-8688,71,user885@example.com,North,Clothing,Clothing Item 166,16,255.89,0.03,3971.41,paypal,refunded,2.8,2023-09-07
ORD-01135,CUST-6518,22,user1135@example.com,Central,Beauty,Beauty Item 316,2,508.94,0.21,804.13,debit_card,cancelled,3.5,2023-04-20
ORD-00858,CUST-1317,32,user858@example.com,East,Books,Books Item 262,5,965.64,0.23,3717.71,credit_card,refunded,4.3,2023-12-24
ORD-00187,CUST-1802,71,user187@example.com,East,Food,Food Item 134,10,827.25,0.21,6535.28,debit_card,completed,3.8,2023-02-16
ORD-01671,CUST-4543,57,user1671@example.com,North,Sports,Sports Item 273,1,318.96,0.25,239.22,bank_transfer,refunded,1.6,2023-08-05
ORD-01265,CUST-9324,24,user1265@example.com,South,Toys,Toys Item 242,19,190.01,0.1,3249.17,bank_transfer,pending,4.8,2023-05-03
ORD-00007,CUST-9669,28,user7@example.com,East,Toys,Toys Item 498,3,757.0,0.26,1680.54,crypto,completed,1.3,2023-03-12
ORD-00592,CUST-8543,21,user592@example.com,South,Electronics,Electronics Item 428,12,560.58,0.29,4776.14,crypto,refunded,4.4,2023-04-15
ORD-00409,CUST-8486,63,user409@example.com,Central,Clothing,Clothing Item 377,15,114.76,0.04,1652.54,paypal,refunded,1.3,2023-06-10
ORD-00789,CUST-6525,34,user789@example.com,South,Books,Books Item 131,19,408.62,0.3,5434.65,paypal,refunded,2.1,2023-06-26
ORD-01271,CUST-1575,53,user1271@example.com,South,Sports,Sports Item 157,7,26.17,0.29,130.06,debit_card,completed,4.0,2023-08-21
ORD-01590,CUST-5723,45,user1590@example.com,North,Food,Food Item 358,9,786.56,0.27,5167.7,paypal,refunded,3.3,2023-01-11
ORD-01153,CUST-4326,35,user1153@example.com,North,Electronics,Electronics Item 215,9,251.7,0.29,1608.36,bank_transfer,completed,1.6,2023-03-03
ORD-01056,CUST-3135,45,user1056@example.com,South,Clothing,Clothing Item 434,8,969.03,0.04,7442.15,credit_card,cancelled,3.2,2023-01-09
